1,Saint Petersburg,FL,27.7391,-82.6435
2,Alexandria,VA,38.8158,-77.09
3,Wichita,KS,37.7639,-97.4269
4,Cheyenne,WY,41.1084,-104.8107
5,San Jose,CA,37.3329,-121.8916
6,Houston,TX,29.7629,-95.3629
7,Orange,CA,33.811,-117.8493
8,Dallas,TX,32.9189,-96.7751
9,Kansas City,MO,39.035,-94.3567
10,Shawnee Mission,KS,38.8999,-94.832
11,New York City,NY,40.8111,-73.9642
12,Houston,TX,29.7971,-95.4958
13,Minneapolis,MN,45.0159,-93.4719
14,Dallas,TX,32.7673,-96.7776
15,Tucson,AZ,32.0848,-110.7122
16,Lincoln,NE,40.8063,-96.6545
17,Spring,TX,30.1288,-95.4239
18,Spokane,WA,47.6536,-117.4317
19,West Palm Beach,FL,26.67,-80.0582
20,New York City,NY,40.7808,-73.9772
21,Los Angeles,CA,33.7866,-118.2987
22,Kansas City,MO,39.2829,-94.409
23,Houston,TX,29.8159,-95.523
24,Madison,WI,43.0696,-89.4239
25,Augusta,GA,33.386,-82.091
26,Pasadena,CA,33.7866,-118.2987
27,Albuquerque,NM,35.0443,-106.6729
28,Lincoln,NE,40.9317,-96.6045
29,Anchorage,AK,61.1901,-149.9361
30,Milwaukee,WI,42.9559,-87.9933
31,Van Nuys,CA,34.1781,-118.4574
32,Asheville,NC,35.6203,-82.5286
33,Detroit,MI,42.2399,-83.1508
34,Nashville,TN,36.1866,-86.7852
35,Fort Lauderdale,FL,26.1443,-80.2069
36,Charleston,WV,38.2968,-81.5547
37,Ashburn,VA,39.0853,-77.6452
38,Lansing,MI,42.5992,-84.372
39,Buffalo,NY,42.8441,-78.8182
40,Colorado Springs,CO,38.8247,-104.562
41,Arlington,VA,38.8836,-77.1395
42,Houston,TX,29.834,-95.4342
43,Albuquerque,NM,35.0443,-106.6729
44,Sioux City,IA,42.5032,-96.3829
45,Toledo,OH,41.6868,-83.4394
46,Milwaukee,WI,43.0174,-87.5697
47,Indianapolis,IN,39.7038,-86.3029
48,Pittsburgh,PA,40.4344,-80.0248
49,Harrisburg,PA,40.2944,-76.8938
50,Flint,MI,43.0113,-83.7108
51,Tampa,FL,27.872,-82.4388
52,Carol Stream,IL,41.9166,-88.1208
53,Indianapolis,IN,39.7038,-86.3029
54,Louisville,KY,38.189,-85.6768
55,Atlanta,GA,33.8444,-84.474
56,Dayton,OH,39.7617,-84.1498
57,Eugene,OR,44.0185,-123.0998
58,Pasadena,CA,33.7866,-118.2987
59,Salem,OR,44.8685,-123.0438
60,Montgomery,AL,32.3834,-86.2434
61,Springfield,MO,37.1136,-93.2896
62,Las Vegas,NV,36.173,-115.0669
63,Lansing,MI,42.7371,-84.5244
64,Orlando,FL,28.4522,-81.4678
65,Memphis,TN,35.2017,-89.9715
66,Baltimore,MD,39.439,-76.5921
67,Conroe,TX,30.2906,-95.3832
68,San Diego,CA,32.7635,-117.2028
69,Van Nuys,CA,34.2006,-118.4868
70,Nashville,TN,36.1379,-86.741
71,New York City,NY,40.7808,-73.9772
72,Visalia,CA,36.3551,-119.301
73,Houston,TX,29.7758,-95.3121
74,Milwaukee,WI,43.0746,-88.0604
75,Huntsville,AL,34.7059,-86.6165
76,El Paso,TX,31.6948,-106.3
77,Atlanta,GA,33.8444,-84.474
78,Wichita Falls,TX,33.8581,-98.5755
79,Allentown,PA,40.6934,-75.4712
80,Chula Vista,CA,32.6513,-116.9852
81,Chicago,IL,41.8119,-87.6873
82,Washington,DC,38.8933,-77.0146
83,Dayton,OH,39.7505,-84.2686
84,Los Angeles,CA,34.0585,-118.3012
85,El Paso,TX,31.6948,-106.3
86,Minneapolis,MN,44.9054,-93.2361
87,Murfreesboro,TN,35.8596,-86.421
88,Houston,TX,29.6518,-95.4854
89,El Paso,TX,31.6948,-106.3
90,Roanoke,VA,37.2742,-79.9579
91,Newark,NJ,40.7664,-74.1695
92,Albany,NY,42.6149,-73.9708
93,Peoria,IL,40.6775,-89.6263
94,Greensboro,NC,36.0807,-80.0244
95,Birmingham,AL,33.5446,-86.9292
96,Jamaica,NY,40.6914,-73.8061
97,San Diego,CA,33.0169,-116.846
98,Springfield,IL,39.7495,-89.606
99,El Paso,TX,31.6948,-106.3
100,Helena,MT,46.5901,-112.0402
101,Tucson,AZ,31.9701,-111.8907
102,Topeka,KS,39.1271,-95.6384
103,Houston,TX,29.834,-95.4342
104,El Paso,TX,31.7705,-106.5048
105,Dallas,TX,32.7673,-96.7776
106,San Jose,CA,37.2187,-121.8601
107,Tampa,FL,27.872,-82.4388
108,Baltimore,MD,39.3316,-76.6336
109,Flint,MI,43.0113,-83.7108
110,Lakeland,FL,28.072,-81.9609
111,Evansville,IN,38.1071,-87.5256
112,Manchester,NH,42.9521,-71.6539
113,Metairie,LA,30.0005,-90.1331
114,Garden Grove,CA,33.783,-118.0256
115,Albuquerque,NM,35.0443,-106.6729
116,Sacramento,CA,38.6026,-121.4475
117,Buffalo,NY,42.7684,-78.8871
118,Buffalo,NY,42.7684,-78.8871
119,Washington,DC,38.8933,-77.0146
120,Pittsburgh,PA,40.4344,-80.0248
121,Buffalo,NY,42.8614,-78.8206
122,Portland,OR,45.484,-122.5973
123,Maple Plain,MN,45.0159,-93.4719
124,Salt Lake City,UT,40.6681,-111.9083
125,Charlotte,NC,35.2268,-80.8432
126,Houston,TX,29.9015,-95.2848
127,Houston,TX,29.834,-95.4342
128,Syracuse,NY,43.0354,-76.1282
129,Elmira,NY,42.0869,-76.8397
130,Atlanta,GA,33.7629,-84.4226
131,Denver,CO,39.7388,-104.4083
132,Gulfport,MS,30.4158,-89.0684
133,Reno,NV,39.5224,-119.8353
134,Oakland,CA,37.7641,-122.1633
135,El Paso,TX,31.6948,-106.3
136,Raleigh,NC,35.7908,-78.653
137,Maple Plain,MN,45.0159,-93.4719
138,Jacksonville,FL,30.3584,-81.692
139,Tallahassee,FL,30.4793,-84.3462
140,Springfield,MA,42.1223,-72.4876
141,Springfield,IL,39.7495,-89.606
142,Buffalo,NY,42.7684,-78.8871
143,Las Vegas,NV,36.2471,-115.221
144,Saint Louis,MO,38.7072,-90.3055
